 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  2 21  2    1    0.000    0.405   0.000   0.726   0.558 0.928   0.000 485.956   0.000  0.000    0.000   89.909   89.909    0.000  0.997  0.153  0.450  3.170  0.048    0.000
  3 21  2    1    0.000    0.159   0.000   0.286   0.558 0.928   0.000 435.825   0.000  0.000    0.000   59.523   59.523    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  4 21  2    1    0.000    0.135   0.000   0.242   0.558 0.928   0.000 432.041   0.000  0.000    0.000   59.523   59.523    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  5 21  2    1    0.000    0.081   0.000   0.146   0.558 0.955   0.000 435.290   0.000  0.000    0.000   59.523   59.523    0.000  0.188  0.153  0.450  3.214  0.150    0.000
  6 21  2    1    0.000    0.073   0.000   0.131   0.558 0.880   0.000 523.773   0.000  0.000    0.000   59.523   59.523    0.000  0.188  0.149  0.150  3.920  0.150    0.000
  1  1  3    1    6.280    0.552   0.000   0.107   5.172 1.001   0.000 495.559   0.000  0.000    0.000   89.883   89.883    0.000  0.996  0.153  0.450  3.234  0.044    0.000
  2  1  3    1    6.280    0.581   0.000   0.112   5.172 0.928   0.000 488.969   0.000  0.000    0.000   89.883   89.883    0.000  0.996  0.153  0.450  3.170  0.048    0.000
  3  1  3    1    6.280    0.646   0.000   0.125   5.172 0.928   0.000 440.819   0.000  0.000    0.000   59.655   59.655    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  4  1  3    1    6.280    0.654   0.000   0.126   5.172 0.928   0.000 437.679   0.000  0.000    0.000   59.655   59.655    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  5  1  3    1    6.280    0.671   0.000   0.130   5.172 0.955   0.000 440.594   0.000  0.000    0.000   59.655   59.655    0.000  0.188  0.153  0.450  3.215  0.150    0.000
