 EVENT OUTPUT
day mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER
--- --  ----  (mm)    (mm)  kg/m^2 kg/m^2 kg/m^2    (m)  kg/m^2  kg/m^2    (m)  (kg/m)  ----
    2    5     7  45.7     3.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    3    5     7   7.5     1.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   30   11     7   0.0     5.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    1   12     7   0.0     0.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19   12     7   0.0     1.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   13    1     8   0.0     0.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19    1     8   0.0     0.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   13    2     8   0.0     2.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   17    2     8   0.4     6.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   18    2     8   0.0     2.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   20    2     8   4.4     1.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   27    4     8  26.4     3.6   0.004   0.00   0.00   19.0    0.00    0.00    0.0     0.1  1.00
    8    5     8  13.0     0.0   0.000   0.00   0.00   19.0    0.00    0.00    0.0     0.0  1.34
    3    6     8  91.1    16.7   0.007   0.01   0.01    8.5    0.00    0.00    0.0     0.1  1.00
    4    6     8  11.9     2.0   0.000   0.00   0.00    8.5    0.00    0.00    0.0     0.0  1.00
    7    7     8  24.9     0.1   0.000   0.00   0.00   19.1    0.00    0.00    0.0     0.0  1.00
   12    7     8  31.5     3.9   0.006   0.01   0.01   17.0    0.00    0.00    0.0     0.1  1.00
   13    7     8  10.6     0.0   0.000   0.00   0.00   19.1    0.00    0.00    0.0     0.0  1.00
    4    8     8  21.5     0.1   0.000   0.00   0.00    8.3    0.00    0.00    0.0     0.0  1.00
    6    8     8  43.1     2.1   0.003   0.00   0.00    8.5    0.00    0.00    0.0     0.1  1.00
   16    8     8  63.5    38.9   0.016   0.02   0.02    8.5    0.00    0.00    0.0     0.3  1.00
   29    8     8  25.6     8.8   0.010   0.01   0.01   19.1    0.00    0.00    0.0     0.2  1.00
    9    9     8  59.2     4.8   0.007   0.01   0.01   19.1    0.00    0.00    0.0     0.1  1.00
   10    9     8  17.9    12.1   0.003   0.00   0.00    6.1    0.00    0.00    0.0     0.1  1.00
    3    1     9   1.8     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   16    1     9   0.0     1.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    8    2     9   0.0    10.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   25    2     9   1.7     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    6    3     9   0.0     1.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    7    3     9   0.0    14.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   15    6     9  29.9     4.1   0.007   0.01   0.01   19.1    0.00    0.00    0.0     0.2  1.00
   26    7     9  34.9     0.0   0.000   0.00   0.00   17.9    0.00    0.00    0.0     0.0  1.25
   28    7     9  52.8     6.0   0.006   0.01   0.01   17.0    0.00    0.00    0.0     0.1  1.00
    2    8     9  32.3     5.2   0.009   0.01   0.01   19.1    0.00    0.00    0.0     0.2  1.00
    7    9     9  69.9     1.9   0.001   0.00   0.00    8.5    0.00    0.00    0.0     0.0  1.00
    8    9     9  31.4    17.8   0.005   0.01   0.01    8.5    0.00    0.00    0.0     0.1  1.00
   13   12     9  29.6     2.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   14    1    10   0.0     9.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28    1    10   0.0     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   29    1    10   0.0     9.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   30    1    10   0.0     4.4   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    2    2    10   5.9     1.4   0.000   0.00   0.00    8.3    0.00    0.00    0.0     0.0  1.00
   15    2    10   1.9     1.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   16    2    10   5.7     2.7   0.000   0.00   0.00    8.5    0.00    0.00    0.0     0.0  1.00
   26    8    10  82.2     9.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
