 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000   1.566 582.552   0.000  0.000    0.000   89.997   89.997    0.000  1.001  0.134  0.210  3.512  0.025    0.000
  2  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000   2.112 579.712   0.000  0.000    0.000   49.996   49.996    0.000  0.188  0.134  0.210  3.500  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000   3.333 566.820   0.000  0.000    0.000   89.813   89.813    0.000  0.993  0.134  0.210  3.512  0.025    0.000
  2 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 555.043   0.000  0.000    0.000   58.338   58.338    0.000  0.187  0.134  0.210  3.500  0.150    0.000
  1 20  1    1    8.770    0.000   0.000   0.000   0.000 0.000   0.090 565.569   0.000  0.000    0.000   89.806   89.806    0.000  0.993  0.134  0.210  3.512  0.025    0.000
  2 20  1    1    8.770    0.025   0.000   0.188   0.654 1.001   0.000 552.718   0.000  0.000    0.000   58.485   58.485    0.000  0.187  0.134  0.210  3.500  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000   0.001 556.706   0.000  0.000    0.000   89.778   89.778    0.000  0.992  0.134  0.210  3.512  0.025    0.000
  2  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 541.344   0.000  0.000    0.000   58.768   58.768    0.000  0.186  0.134  0.210  3.500  0.150    0.000
  1  6  2    1    0.000    2.032   0.000   2.023   1.004 1.001   0.000 551.324   0.000  0.000    0.000   89.760   89.760    0.000  0.991  0.134  0.210  3.512  0.042    0.000
  2  6  2    1    0.000    1.623   0.000   1.615   1.004 1.001   0.000 533.746   0.000  0.000    0.000   58.854   58.854    0.000  0.186  0.134  0.210  3.500  0.150    0.000
