coloridx,value,r,g,b
1,-30.0,0,0,0
2,-25.0,0,0,0
3,-20.0,0,0,0
4,-15.0,0,0,0
5,-10.0,0,0,0
6,-5.0,0,0,0
7,0.0,0,236,236
8,5.0,1,160,246
9,10.0,0,0,246
10,15.0,0,255,0
11,20.0,0,200,0
12,25.0,0,144,0
13,30.0,255,255,0
14,35.0,231,192,0
15,40.0,255,144,0
16,45.0,255,0,0
17,50.0,214,0,0
18,55.0,192,0,0
19,60.0,255,0,255
20,65.0,153,85,201
21,70.0,255,255,255
