#USM00072558 2025 03 08 12 1110  212 ncdc-nws           413200  -963669
21     0  97904B-8888   -44B  880    17   286    21 
20  4705  14486 13810B -499B   10   319   254   381 
20  4707  14469 13818B -499B   10   319   254   382 
20  4723  14302 13894B -499B   10   318   255   396 
20  4745  14088 13992B -501B   10   317   257   410 
20  4841  13540 14251B -503B   10   317   259   382 
20  4857  13387 14325B -503B   10   317   260   374 
20  4905  13311 14362B -503B   10   317   260   369 
20  5045  12370 14840B -512B   11   312   258   350 
20  5057  12245 14906B -515B   11   311   258   354 
20  5125  11969 15053B -521B   11   310   260   361 
20  5135  11865 15110B -522B   11   310   260   352 
20  5204  11579 15268B -521B   10   312   262   335 
20  5216  11474 15327B -520B   10   312   264   330 
20  5225  11396 15371B -520B   10   312   266   327 
20  5243  11239 15460B -521B   10   312   265   317 
20  5245  11219 15472B -521B   10   312   265   316 
20  5258  11106 15538B -521B   10   313   261   317 
20  5325  10893 15663B -521B   10   312   256   315 
20  5405  10572 15856B -527B   11   307   254   290 
20  5432  10321 16011B -539B   11   303   250   317 
20  5445  10212 16079B -543B   11   302   248   330 
10  5511  10000 16213B -550B   11   301   250   343 
20  5645   9295 16677B -575B   11   293   260   362 
20  5659   9196 16745B -578B   11   292   262   361 
20  5724   9025 16863B -584B   11   293   264   355 
20  5752   8822 17006B -582B   10   295   269   338 
20  5804   8713 17084B -582B   11   294   271   318 
20  5845   8384 17325B -593B   11   289   278   251 
20  5858   8272 17410B -599B   11   286   278   240 
20  5925   8034 17592B -613B   11   283   273   203 
20  5945   7843 17739B -622B   11   283   275   182 
22  6004   7696 17857B -628B   11   282   261   148 
20  6025   7560 17967B -629B   11   282   251   136 
20  6031   7520 18000B -630B   11   283   250   144 
20  6045   7433 18071B -626B   10   286   248   161 
20  6105   7303 18181B -611B    9   294   256   174 
20  6140   7095 18361B -578B    9   303   277   134 
10  6157   7000 18446B -571B    9   304   288   103 
20  6205   6955 18487B -569B   10   304   297    90 
20  6218   6885 18551B -567B   10   302   301    90 
20  6225   6847 18587B -568B   10   301   304    90 
20  6325   6519 18896B -575B   10   297   278   101 
20  6425   6200 19213B -565B   10   300   301   143 
20  6432   6165 19250B -564B   10   300   302   139 
20  6505   6010 19412B -569B   11   297   306   109 
20  6608   5708 19736B -587B   11   289   327    88 
20  6625   5624 19829B -591B   11   290   329    71 
20  6705   5415 20066B -595B   11   289   285    30 
20  6725   5319 20179B -597B   11   289   237    36 
20  6805   5129 20405B -598B   11   290   259    63 
20  6806   5123 20413B -598B   11   290   259    63 
20  6825   5038 20517B -596B   10   292   253    64 
10  6833   5000 20565B -595B   10   292   246    63 
20  6845   4946 20633B -595B   10   292   236    62 
20  6914   4827 20785B -593B   11   291   254    47 
20  7005   4620 21059B -589B   10   294   293    29 
20  7025   4541 21168B -585B   10   297   231    10 
20  7045   4464 21274B -580B   10   298   235    24 
20  7103   4393 21376B -575B   10   300   234    29 
20  7125   4308 21500B -572B   10   298   277    32 
20  7142   4246 21591B -571B   11   297   288    23 
20  7145   4235 21606B -572B   11   297   291    21 
20  7205   4161 21719B -575B   11   295   300    24 
20  7225   4085 21834B -579B   11   292   274    15 
20  7305   3943 22057B -585B   11   291   203    60 
20  7316   3907 22116B -586B   11   292   207    66 
20  7345   3808 22277B -579B   10   297   230    74 
20  7425   3675 22502B -568B   10   299   270    53 
20  7445   3606 22621B -566B   11   298   266    60 
20  7530   3458 22887B -564B   11   297   320    79 
20  7545   3410 22975B -564B   11   295   332    96 
20  7625   3282 23218B -566B   11   295   356    53 
20  7645   3217 23344B -567B   11   294    77    22 
20  7705   3154 23469B -568B   12   293   156    11 
20  7725   3092 23597B -569B   12   292    65    15 
20  7744   3035 23715B -572B   12   290    74    25 
20  7745   3031 23723B -572B   12   290    75    26 
10  7755   3000 23787B -573B   12   290   104    24 
20  7811   2950 23894B -574B   12   290   157    27 
20  7826   2920 23971B -574B   12   291   180    38 
